pool,router,pool_type,fee_or_params,created_at,tokens
CCY2PXGMKNQHO7WNYXEWX76L2C5BH3JUW3RCATGUYKY7QQTRILBZIFWV,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-07-25 08:19:40,
CA6GAFOJCW4MGQQBUCQUSA3CLIH25G4SNKB2JHYKZCVWZTNW5VXMSC4O,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-07-25 11:18:02,
CDUX476HQ4JZBPLLVEVRIVXDRKAGYDNDL7OLBE5DD37JXOUFI2NACXJ5,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-07-25 11:33:16,
CBP67KMDEOZHRJ5YM7DS4MOVYJH66YCEFCVBDBQVNTI46X37DU6KOZMB,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2024-07-25 12:16:42,
CDRRLXLBXYVENKIUCCTFUT5WW6BW43NJMAPEMGU6VIU74LV6526OLS35,CBQDHNBF…C6QUK,stable,,2024-07-25 12:19:07,
CCFGZJTHQZGDZP5PK6WMLKHKJ72ACSVMJGCI2NFR7Q6EAVSKWLJB3ZH3,CBQDHNBF…C6QUK,stable,,2024-07-26 11:09:22,
CA6PUJLBYKZKUEKLZJMKBZLEKP2OTHANDEOWSFF44FTSYLKQPIICCJBE,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-07-29 22:05:20,
CCLZQDL5LY2DBPNNFBRKPSROGFGTT7Y7AI2SM6QUI3SUTTKA672X4PDF,CBQDHNBF…C6QUK,stable,,2024-07-31 23:00:34,
CDE57N6XTUPBKYYDGQMXX7E7SLNOLFY3JEQB4MULSMR2AKTSAENGX2HC,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-08-05 12:08:19,
CCF76DJMOL56MGFFKQ4U5BY3RSZC37R2F5F3NIW7MPUOKFRY4LOKN7EQ,CA7RQDMM…RUOJQ,constant,"{""u32"":100}",2024-08-06 03:42:21,
CDGAAOKSMARPIFB4N54BBAHXPZ7QMESGUUSLZ6QGSFFPFWDH35D72GFH,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-08-06 07:31:34,
CBFNCIWG4HEMGSAAR4DEVS2DA7JWQYH5SQEZ6SR74HOZCSP3JNCSFZEA,CA7RQDMM…RUOJQ,constant,"{""u32"":30}",2024-08-08 10:12:41,
CDU5EDRLORSCPHZDAEVHNOT7EMRLWSGHRA3WLCXFGUNVVY22PLEWNBBU,CA7RQDMM…RUOJQ,stable,,2024-08-08 11:46:48,
CCWURHLMAE7M7KBB6JAEMHGZQVENXMF73VTDBBFPK52Q23JRFUVY4JLS,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-08-21 09:12:42,
CBHWO677JA72CGF2SPTWISMJP7PQTT7NQBIO6W5YQ62UJBF55IN34F26,CA7RQDMM…RUOJQ,constant,"{""u32"":30}",2024-08-21 09:32:52,
CB7L2XGIQMJX2VO5BEDY7Y4BF5RNXBGA3N5QUEMYGIFHJOXRHDMF2C5F,CA7RQDMM…RUOJQ,constant,"{""u32"":100}",2024-08-21 09:33:32,
CAB6MICC2WKRT372U3FRPKGGVB5R3FDJSMWSLPF2UJNJPYMBZ76RQVYE,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-08-23 06:14:11,
CD4ASKG2XVZRAUXSXPCGUSBIX4JOC2TNA2FDBAPUNJB7RSUG5YGRQRSF,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-08-29 10:16:05,
CB7FKGSTHP75ORTIZGGMVUTQLEMVTSEOI4QORQPCABJSGTAATDFCE2YV,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-08-31 05:51:09,
CCSY43EHJAHT3NQDYKAMJXRFBEEH7OXDL3J3VNGO33UUSEXWNN27GBIZ,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2024-09-14 04:50:09,
CDPKDMH5WQDVNN3TVOYAJLPQ27HVPPHWKD6C5APMZSRFAJAWZYSEA6PB,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-09-17 07:41:16,
CCZIETBWABI4H7NONISQZKGI74FPUKNLCOIWQJ2RZIMCYIFOJAS56LTN,CA7RQDMM…RUOJQ,constant,"{""u32"":30}",2024-09-17 07:51:59,
CCE5SYJ4EJDVN2ZNB5A3DE7UOLLHI2I3J5FOFO6U6BFSXRGMYQ6GOTH7,CBQDHNBF…C6QUK,stable,,2024-09-24 17:04:32,
CAQVZKCFWX4HT3C3RUXGR7OETDKRMN433M2QWUXC5X64WE2FKDUFA7GQ,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-09-24 17:09:36,
CDFVWNLPXHEARNK7RT6Q42TYOE5FC6N2VPXH5GVJ7N6H2PWRKKNPOENC,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-09-30 10:32:04,
CBUTKQ3Z35FZLUKODPV7MS7NHWA3ED4IJZL5GOBQQQIHQIL4AFGJS45O,CBQDHNBF…C6QUK,stable,,2024-10-03 12:49:36,
CBSJVUIJEWSNJ7GCDMRW22VDBDQAG4ESR42ECZGB6X4Y2J6C2UAR6LSY,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-10-04 15:55:05,
CBPSJKMTP5SELRPOKQECDEEMSMSWJKKIRUXKOOBHVWDTPNR76O4E7BSZ,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-10-06 13:31:10,
CAC56QNJ2CX456TPC5S4MSOU3DBULG4TGN7AZ2SAYGBLD3GICFMZBIT2,CBQDHNBF…C6QUK,stable,,2024-10-08 15:52:23,
CASDAEULZPRO2GFVBOGEWZNNG2JR2JHH4ORBDC7MYOZLBKF4XB7SALYC,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-10-11 06:50:37,
CDDLTOODRYTIJE4KPS4BIIXWPLVMSIYVG7GE4W7MG2UBQ3QCCET4SUFA,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-10-14 06:09:46,
CBYHINSSG47ODHUV6ENPZRCGISZE6G3WKZV3OOVFAMFEIRTPR5CLW7QH,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-10-19 18:39:33,
CCHOYEP6SGO6I6DT23TPSN5MKUE3O7OT7BXON6KZI5CD47PEH7EYX5GW,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-10-28 14:37:07,
CBA773WXS4IYY6UBRB5UYWUG2AVJCJQFUNY4R6V6LRXGSB22PPI4JUHD,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-11-03 14:59:03,
CAFELOFDTDFZUCLQ75ZBIQO2JJOLJTSDMGCDPSO2HXAU55VPJHE2IS5K,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-11-03 15:00:02,
CCMD6523ITIZX7WQEWCGDJE7FHD6AO6VSLWJ6VFLLFFPYENY6CFREMNK,CA7RQDMM…RUOJQ,constant,"{""u32"":30}",2024-11-07 07:26:58,
CA4AU6O7V5HL5SPDRERKWRUG22KIPVOA3KOHCWZJJUYQ5NFKC7OAUIW6,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-11-11 06:25:07,
CAQENB7J57NTUWKTPDJ6CRIMI734US7Q2U2VXRWTNMMFSVXDTPWEUJGU,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-11-16 21:34:39,
CDPBOIGPIMZW7ZUHXHDEIE5FN4GXC5T7HCAHT6NKAIXMNNZWPBHC3W54,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-11-27 19:05:47,
CBM3E3AV67FLU7AJTEYJCR7VOW63KKTHP4NYMMESXRGP5BIHKMCFZ4C5,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2024-11-27 19:10:37,
CBFXFTFLUUIBQGHLMSI762JUD34NHLFZ5AGPLEQ2WJ2CEQANDPZODNVN,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2024-11-27 19:20:11,
CAALB3YN5DGHR76IEUERNLVRCHILENPCZ6SSU7YY2F4MY5WTYCKSYTTU,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-12-16 10:39:25,
CANNGX6237WS6E3VS5UVY6P547D2BTZ5PEX3XS2Y2F4MTB7EHHRJILQR,CA7RQDMM…RUOJQ,stable,"{""u32"":100},{""u128"":""1500""}",2024-12-16 10:50:57,
CAWRUZOOSKHS5AKN2PLRTCDLBCT2RPFKYL7DRAI5Q64HFIKUGK5YNZFV,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-12-16 11:20:50,
CBNLT7K2DUJ6U4HR7RABYQSDZ7AQYQIHBWO7SYCC4XEUOAF6OTOMHPRT,CA7RQDMM…RUOJQ,stable,"{""u32"":10},{""u128"":""1500""}",2024-12-16 11:22:06,
CBQRTFL2DNYL3DQDFL4FYGY2RLX4QXIRE3MHRRHB7O5RF3GHPVCZYYBZ,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2024-12-16 13:06:23,
CAI3PBFR572FUXEYCZSTJ4HYTL7KF4EYTKHJB7KJSNYTN43BDFPTG4TS,CA7RQDMM…RUOJQ,constant,"{""u32"":30}",2024-12-18 11:11:02,
CCP3PPN6A5GRAGZTQAXYWSROV4QQMEE3FOR2IXSYYVOXCXPMZRB2QAWZ,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2024-12-19 02:50:25,
CD6VHCKSUPGQVQPEQUI6EAEO6Z4PXMFTPHW3UTAOF7W4UF7TH7ZSKZBG,CBQDHNBF…C6QUK,stable,,2024-12-28 07:34:43,
CDRAJL4B6PV3U22H4VBM3PGOEDG6AWCDBJHVUMQSL4LHH7RF4JZPTLV3,CBQDHNBF…C6QUK,stable,,2024-12-30 07:54:34,
CB4FDVJZEL4KE4ZEY2BSQ5VTOXZDPV34ZT3YO2AMW7PPOTH5ONF2GXHD,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-02 12:17:03,
CC6MJT4233D354EZTYWRTF6X5LS223C3TEUPVEA6G5KVTV5SYSEVP44S,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-02 12:17:20,
CCPHQ3GS6TMBGEOFMXARRRQ35LTAGM3A4OFW7EMRZG2SJFSBD65XZFF6,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-02 12:17:38,
CAF63CNDJBATL376WDN5KUNN32JQKNYC26SQ62OLXYMAWBYE23P6M5WT,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-04 15:59:22,
CDD3OQDUVL3ITL4ZJF27WVSO65PFEQQ5AOHEUPUHC7YNL7VUYM4QRLZ5,CBQDHNBF…C6QUK,stable,,2025-01-04 16:07:36,
CAGG5WHOXR72BDDMLIN56Q6NP5SBJQJ73RMOOIL255FNRFWZO55MATSO,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-07 08:36:20,
CB66IZEXJMKBAUJDIQMNGBSQBHXKUDPBIPEINZEOUMOEKC2NKMSFVFZJ,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-11 13:57:37,
CCZC4HGM2BW7TIIS4KBDQEZX67DFZLOL6TZXGUGD6SJZS6IJ5JUAEZZR,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-16 04:40:07,
CAI57H4HYE2TNI2MM4LYAZ24Y3XLSBNWTSNDKNTOYFOBHYNHTMQAXN7W,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-16 04:43:29,
CDOGKTAHIINHYDL3BUYDVKIQDDJI35IBMLOUHC3AZC6FNJFT5ZC7BYDJ,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-16 04:48:00,
CCOZA42SRNHEMT7SBPAX5BG7BJXTTCHJ56FYCQRYB35CP5WUVEXM7B3F,CBQDHNBF…C6QUK,stable,,2025-01-16 05:08:42,
CCWNKTTMHZ4VRR3FYQT3G253MHOGRLUEVTO6YPENM7ZN65DGC345LHI6,CBQDHNBF…C6QUK,stable,,2025-01-16 17:54:14,
CCJY3VRDZ55SQVD73RO3D6LPT33AMUYAQDDTGN7OHXAEDPQPRZ2PCDJT,CA7RQDMM…RUOJQ,stable,"{""u32"":10},{""u128"":""1500""}",2025-01-17 16:02:37,
CAGONMIX4RL2MPHP6INYZJEFIZ4NQLE4BAU22EJBJ7HMN2QC4ZP364ON,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-17 19:15:46,
CBBIRRHJGR3W4YTDBSURB3X7GMA5BN3TO6DZJYKXWNFMXEMPXYQCNYGU,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-17 19:16:38,
CBRNBLCGEYOEXD2JVCT5YEZ4RZY3IPQGYEI2D4MKSG7I62NWYJFZ2JRY,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-18 12:34:56,
CCS2D4NOERLQH7HL23HMMHW37U366VVTQAYHLUGFKLRUWMRIRP7RQ2MF,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2025-01-18 12:36:07,
CCON5USQZ2SHOILAGTH6PAQOECE5ZSHKWY4ECHVQUPQH6ZN42J7NTA2N,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-20 16:06:02,
CBSGKBPK6CU2ZZKI4T3GRDWA2WBEQ6ISXI5MWFMAO5IKIYAHOEUODPHN,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-20 16:06:47,
CAQODUH4XNX2NTFVACRMO4UR7MA5RLSZA5ZQTHILQYGYYCFQ3LUATIGM,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-20 20:35:15,
CBRGFMR6QBX7ASUBO534UDGOUB2SDGRL7AAFXFYBQ4DT4RJTWQG55W2T,CBQDHNBF…C6QUK,stable,"{""u32"":10},{""u128"":""1500""}",2025-01-21 04:20:59,
CAUCGDPDPQL4EPMPPFST63VBDVN6H5LMDYM3OTBGJQZTCTM3DE4IWWWB,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2025-01-21 16:01:35,
CDKVJYMN34ZIEXSLNFYHVAFF6M6FM5E2U6OHXOTBKH2WLBULXOE53YDP,CBQDHNBF…C6QUK,stable,"{""u32"":10},{""u128"":""1500""}",2025-01-21 17:49:56,
CD65EROVLTDU2DWM4ZUJF4NHK4A46DX2UAOGCV7YDFPCSLFYNH57KGIY,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-22 12:42:00,
CDSVWH3J6C4FJO6C5CE5LF4VFPIV5WLMNQQKSNWJXNKLONXK5PAZ4KAG,CBQDHNBF…C6QUK,stable,"{""u32"":50},{""u128"":""1500""}",2025-01-23 07:59:06,
CBRXOYKXPQI4EEA6KA35TUIYN5OJLNWMTIVDOMNOIL2BG5Y5LEDHUU7V,CBQDHNBF…C6QUK,stable,"{""u32"":50},{""u128"":""1500""}",2025-01-23 08:14:03,
CCQ6SUAEW4REXTXI5ZL7F2UNXTZTQAORQIPCCNWQWT3SGNYWZTTDLFTT,CBQDHNBF…C6QUK,stable,"{""u32"":50},{""u128"":""6750""}",2025-01-23 08:20:07,
CD656U6QQK5VEPB4ASHALPMP3LIM3Y6ZKBEKNLSPIO3FBO6YIDYQCM4R,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2025-01-23 14:31:04,
CBW7MXDIGZMY6UZN6T7P6J2AFGOVZQ6ZMF7IPHUAPJBD2S7J735UI2O6,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-23 18:16:49,
CAEG2CDYEDSSZKJS7MWNINVBC4CQZGIJQ36OKSGE3A65VRSBDCFSE544,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-23 18:33:24,
CCMHVBZGY65EIFQZLZFRWMPMM23MWK4P5RFKDFWEPA5NQHENBNWMZETZ,CBQDHNBF…C6QUK,constant,"{""u32"":100}",2025-01-27 15:52:46,
CCBB55HJJQNOA56FT37SI3B6EYJ6VMW2RB4BZJZGTEZBT5QUMN3DUGCQ,CBQDHNBF…C6QUK,constant,"{""u32"":10}",2025-01-28 06:24:03,
CA2JB3HAM7PWI2WCOW22ZEDKKIGJEWUDIZBGICITRDN2TAJ2QLWVTLXR,CBQDHNBF…C6QUK,constant,"{""u32"":30}",2025-01-28 06:30:01,
CCO2HI5HGF6KVMA65DOIN52BWA4P6Z6T6HKO46KGLZXXIUB3KZ3K5W4E,CA7RQDMM…RUOJQ,constant,"{""u32"":10}",2025-01-30 10:15:14,
