protocol,kind,contract_id,token_a,token_b,first_seen
aquarius,pool,CCY2PXGMKNQHO7WNYXEWX76L2C5BH3JUW3RCATGUYKY7QQTRILBZIFWV,,,2024-07-25 08:19:40.000 UTC
aquarius,pool,CA6GAFOJCW4MGQQBUCQUSA3CLIH25G4SNKB2JHYKZCVWZTNW5VXMSC4O,,,2024-07-25 11:18:02.000 UTC
aquarius,pool,CDUX476HQ4JZBPLLVEVRIVXDRKAGYDNDL7OLBE5DD37JXOUFI2NACXJ5,,,2024-07-25 11:33:16.000 UTC
aquarius,pool,CBP67KMDEOZHRJ5YM7DS4MOVYJH66YCEFCVBDBQVNTI46X37DU6KOZMB,,,2024-07-25 12:16:42.000 UTC
aquarius,pool,CDRRLXLBXYVENKIUCCTFUT5WW6BW43NJMAPEMGU6VIU74LV6526OLS35,,,2024-07-25 12:19:07.000 UTC
aquarius,pool,CCFGZJTHQZGDZP5PK6WMLKHKJ72ACSVMJGCI2NFR7Q6EAVSKWLJB3ZH3,,,2024-07-26 11:09:22.000 UTC
aquarius,pool,CA6PUJLBYKZKUEKLZJMKBZLEKP2OTHANDEOWSFF44FTSYLKQPIICCJBE,,,2024-07-29 22:05:20.000 UTC
aquarius,pool,CCLZQDL5LY2DBPNNFBRKPSROGFGTT7Y7AI2SM6QUI3SUTTKA672X4PDF,,,2024-07-31 23:00:34.000 UTC
aquarius,pool,CDE57N6XTUPBKYYDGQMXX7E7SLNOLFY3JEQB4MULSMR2AKTSAENGX2HC,,,2024-08-05 12:08:19.000 UTC
aquarius,pool,CCF76DJMOL56MGFFKQ4U5BY3RSZC37R2F5F3NIW7MPUOKFRY4LOKN7EQ,,,2024-08-06 03:42:21.000 UTC
aquarius,pool,CDGAAOKSMARPIFB4N54BBAHXPZ7QMESGUUSLZ6QGSFFPFWDH35D72GFH,,,2024-08-06 07:31:34.000 UTC
aquarius,pool,CBFNCIWG4HEMGSAAR4DEVS2DA7JWQYH5SQEZ6SR74HOZCSP3JNCSFZEA,,,2024-08-08 10:12:41.000 UTC
aquarius,pool,CDU5EDRLORSCPHZDAEVHNOT7EMRLWSGHRA3WLCXFGUNVVY22PLEWNBBU,,,2024-08-08 11:46:48.000 UTC
aquarius,pool,CCWURHLMAE7M7KBB6JAEMHGZQVENXMF73VTDBBFPK52Q23JRFUVY4JLS,,,2024-08-21 09:12:42.000 UTC
aquarius,pool,CBHWO677JA72CGF2SPTWISMJP7PQTT7NQBIO6W5YQ62UJBF55IN34F26,,,2024-08-21 09:32:52.000 UTC
aquarius,pool,CB7L2XGIQMJX2VO5BEDY7Y4BF5RNXBGA3N5QUEMYGIFHJOXRHDMF2C5F,,,2024-08-21 09:33:32.000 UTC
aquarius,pool,CAB6MICC2WKRT372U3FRPKGGVB5R3FDJSMWSLPF2UJNJPYMBZ76RQVYE,,,2024-08-23 06:14:11.000 UTC
aquarius,pool,CD4ASKG2XVZRAUXSXPCGUSBIX4JOC2TNA2FDBAPUNJB7RSUG5YGRQRSF,,,2024-08-29 10:16:05.000 UTC
aquarius,pool,CB7FKGSTHP75ORTIZGGMVUTQLEMVTSEOI4QORQPCABJSGTAATDFCE2YV,,,2024-08-31 05:51:09.000 UTC
aquarius,pool,CCSY43EHJAHT3NQDYKAMJXRFBEEH7OXDL3J3VNGO33UUSEXWNN27GBIZ,,,2024-09-14 04:50:09.000 UTC
aquarius,pool,CDPKDMH5WQDVNN3TVOYAJLPQ27HVPPHWKD6C5APMZSRFAJAWZYSEA6PB,,,2024-09-17 07:41:16.000 UTC
aquarius,pool,CCZIETBWABI4H7NONISQZKGI74FPUKNLCOIWQJ2RZIMCYIFOJAS56LTN,,,2024-09-17 07:51:59.000 UTC
aquarius,pool,CCE5SYJ4EJDVN2ZNB5A3DE7UOLLHI2I3J5FOFO6U6BFSXRGMYQ6GOTH7,,,2024-09-24 17:04:32.000 UTC
aquarius,pool,CAQVZKCFWX4HT3C3RUXGR7OETDKRMN433M2QWUXC5X64WE2FKDUFA7GQ,,,2024-09-24 17:09:36.000 UTC
aquarius,pool,CDFVWNLPXHEARNK7RT6Q42TYOE5FC6N2VPXH5GVJ7N6H2PWRKKNPOENC,,,2024-09-30 10:32:04.000 UTC
aquarius,pool,CBUTKQ3Z35FZLUKODPV7MS7NHWA3ED4IJZL5GOBQQQIHQIL4AFGJS45O,,,2024-10-03 12:49:36.000 UTC
aquarius,pool,CBSJVUIJEWSNJ7GCDMRW22VDBDQAG4ESR42ECZGB6X4Y2J6C2UAR6LSY,,,2024-10-04 15:55:05.000 UTC
aquarius,pool,CBPSJKMTP5SELRPOKQECDEEMSMSWJKKIRUXKOOBHVWDTPNR76O4E7BSZ,,,2024-10-06 13:31:10.000 UTC
aquarius,pool,CAC56QNJ2CX456TPC5S4MSOU3DBULG4TGN7AZ2SAYGBLD3GICFMZBIT2,,,2024-10-08 15:52:23.000 UTC
aquarius,pool,CASDAEULZPRO2GFVBOGEWZNNG2JR2JHH4ORBDC7MYOZLBKF4XB7SALYC,,,2024-10-11 06:50:37.000 UTC
aquarius,pool,CDDLTOODRYTIJE4KPS4BIIXWPLVMSIYVG7GE4W7MG2UBQ3QCCET4SUFA,,,2024-10-14 06:09:46.000 UTC
aquarius,pool,CBYHINSSG47ODHUV6ENPZRCGISZE6G3WKZV3OOVFAMFEIRTPR5CLW7QH,,,2024-10-19 18:39:33.000 UTC
aquarius,pool,CCHOYEP6SGO6I6DT23TPSN5MKUE3O7OT7BXON6KZI5CD47PEH7EYX5GW,,,2024-10-28 14:37:07.000 UTC
aquarius,pool,CBA773WXS4IYY6UBRB5UYWUG2AVJCJQFUNY4R6V6LRXGSB22PPI4JUHD,,,2024-11-03 14:59:03.000 UTC
aquarius,pool,CAFELOFDTDFZUCLQ75ZBIQO2JJOLJTSDMGCDPSO2HXAU55VPJHE2IS5K,,,2024-11-03 15:00:02.000 UTC
aquarius,pool,CCMD6523ITIZX7WQEWCGDJE7FHD6AO6VSLWJ6VFLLFFPYENY6CFREMNK,,,2024-11-07 07:26:58.000 UTC
aquarius,pool,CA4AU6O7V5HL5SPDRERKWRUG22KIPVOA3KOHCWZJJUYQ5NFKC7OAUIW6,,,2024-11-11 06:25:07.000 UTC
aquarius,pool,CAQENB7J57NTUWKTPDJ6CRIMI734US7Q2U2VXRWTNMMFSVXDTPWEUJGU,,,2024-11-16 21:34:39.000 UTC
aquarius,pool,CDPBOIGPIMZW7ZUHXHDEIE5FN4GXC5T7HCAHT6NKAIXMNNZWPBHC3W54,,,2024-11-27 19:05:47.000 UTC
aquarius,pool,CBM3E3AV67FLU7AJTEYJCR7VOW63KKTHP4NYMMESXRGP5BIHKMCFZ4C5,,,2024-11-27 19:10:37.000 UTC
aquarius,pool,CBFXFTFLUUIBQGHLMSI762JUD34NHLFZ5AGPLEQ2WJ2CEQANDPZODNVN,,,2024-11-27 19:20:11.000 UTC
aquarius,pool,CAALB3YN5DGHR76IEUERNLVRCHILENPCZ6SSU7YY2F4MY5WTYCKSYTTU,,,2024-12-16 10:39:25.000 UTC
aquarius,pool,CANNGX6237WS6E3VS5UVY6P547D2BTZ5PEX3XS2Y2F4MTB7EHHRJILQR,,,2024-12-16 10:50:57.000 UTC
aquarius,pool,CAWRUZOOSKHS5AKN2PLRTCDLBCT2RPFKYL7DRAI5Q64HFIKUGK5YNZFV,,,2024-12-16 11:20:50.000 UTC
aquarius,pool,CBNLT7K2DUJ6U4HR7RABYQSDZ7AQYQIHBWO7SYCC4XEUOAF6OTOMHPRT,,,2024-12-16 11:22:06.000 UTC
aquarius,pool,CBQRTFL2DNYL3DQDFL4FYGY2RLX4QXIRE3MHRRHB7O5RF3GHPVCZYYBZ,,,2024-12-16 13:06:23.000 UTC
aquarius,pool,CAI3PBFR572FUXEYCZSTJ4HYTL7KF4EYTKHJB7KJSNYTN43BDFPTG4TS,,,2024-12-18 11:11:02.000 UTC
aquarius,pool,CCP3PPN6A5GRAGZTQAXYWSROV4QQMEE3FOR2IXSYYVOXCXPMZRB2QAWZ,,,2024-12-19 02:50:25.000 UTC
